Snap_Date,Store_Name,Store_Division,Tool_Brand,Major_Business_Unit,Tool_Category,Expert_Level,Week_Sales_SPT,Annual_Sales_SPT,Supply_Weeks,Week_ID,Year_ID,Series
2020-12-15,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2913819,123420909.7,10.17541847,50,2019,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2020-12-29,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2325331,128809521.7,10.59445625,52,2019,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-01-05,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2187030,2187030,11.08499399,1,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-01-19,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2324898,6846882,11.61884148,3,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-01-26,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2390038,9236920,11.23524951,4,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-02-02,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2375994,11612914,10.99686536,5,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-02-09,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2378365,13991279,10.99131482,6,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-02-16,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2360997,16352276,10.65351209,7,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-02-23,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2426212,18778488,10.50526756,8,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-03-01,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2483739,21262227,10.23246457,9,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-03-08,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2497593.74,23759820.74,9.937199064,10,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-03-15,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2452545,26212365.74,11.46549948,11,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-03-22,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2143295,28355660.74,11.92632337,12,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-03-29,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1967244,30322904.74,12.34410537,13,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-04-05,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2036981,32294206,9.845006718,14,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-04-12,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2144350,34438556,10.25478109,15,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-04-19,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2496798,36935354,12.8298852,16,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-04-26,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2550677,39486031,11.93232554,17,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-05-03,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2635940,42121971,10.82129138,18,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-05-10,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2882482,45004453,10.02818405,19,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-05-17,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3130715,48135168,9.252103492,20,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-05-24,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3105522,51240690,8.910775502,21,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-05-31,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3003644,54244334,8.794821008,22,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-06-07,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3073328.15,57317662.15,8.795026206,23,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-06-14,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3236300.36,60553962.51,8.794733066,24,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-06-21,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3329087.06,63883049.57,8.794439925,25,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-06-28,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3134585.35,69274443.72,8.794439925,26,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-07-05,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2924968.68,72199412.4,8.794439925,27,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-07-12,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2980197.08,77559126.18,8.794439925,28,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-07-19,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2959511.82,75430426.77,8.794439925,29,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-07-26,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2958810.73,66683282.22,8.794439925,30,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-08-02,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2902653.57,69586029.49,8.794439925,31,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-08-09,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2928125.56,72514332.57,8.794439925,32,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-08-16,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2944584.11,75459136.26,8.794439925,33,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-08-23,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3011908.57,81430790.08,8.794439925,34,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-08-30,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2929570.48,81400902.28,8.794439925,35,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-09-06,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2820665.05,84221931.07,8.526889078,36,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-09-13,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2724560.64,86869428.85,8.794439925,37,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-09-20,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2781015.36,89650475.47,8.794439925,38,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-09-27,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2834342.92,92482498.14,8.794439925,39,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-10-04,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2860237.97,95342824.48,8.794439925,40,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-10-11,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2805625.42,98148541.6,8.236329288,41,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-10-18,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2831611.62,100988235.4,8.676209351,42,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-10-25,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2850595.05,103833110.7,8.958734439,43,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-11-01,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3074634.7,106907811.3,8.985439598,44,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-11-08,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3585671.65,110493525.7,8.595535176,45,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-11-15,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3903504.38,114397456.2,7.922583371,46,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-11-22,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3459959.85,118217370,6.201116084,47,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-11-29,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3360817.63,121938794.2,7.930969378,48,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-12-06,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3784147.17,124938238.6,8.98705572,49,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-12-13,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3371927.29,128097406.9,9.184192759,50,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-12-20,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,3392506.82,131249520.4,8.146517529,51,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2021-12-27,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2963799.21,134133703.6,8.688640199,52,2020,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-01-03,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2913289.64,2913289.64,7.592204193,1,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-01-10,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,903215.66,1813640.29,7.284728653,2,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-01-17,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,151753.72,452604.27,12.15175581,3,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-01-24,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,144700.05,597304.32,11.75383906,4,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-01-31,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,782344.26,4291915.79,6.436613556,5,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-02-07,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1529554.22,10268093.15,8.031189926,6,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-02-14,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,709204.09,5748362.09,7.279757569,7,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
